,family_id,members_num,family_lv,active_score,dt
234,-893481788,3.0,1.0,326.0,20221104
235,-1527178771,27.0,1.0,19.0,20221104
236,894279492,10.0,1.0,24.0,20221104
237,-1794159811,27.0,1.0,656.0,20221104
238,-1582932541,1.0,1.0,1704.0,20221104
239,-946064000,33.0,3.0,686.0,20221104
240,-2087933936,7.0,1.0,1479.0,20221104
241,-1829215864,9.0,1.0,1206.0,20221104
242,307869679,26.0,7.0,393.0,20221104
243,-1557996658,12.0,3.0,6434.0,20221104
244,737626278,48.0,1.0,3230.0,20221104
245,1571897817,14.0,1.0,518.0,20221104
246,-1666955788,48.0,1.0,290.0,20221104
247,-26764465,4.0,1.0,145.0,20221104
248,-465660264,1.0,1.0,18.0,20221104
249,-173432299,1.0,1.0,60.0,20221104
250,647133670,29.0,1.0,3060.0,20221104
251,-828546319,30.0,9.0,449.0,20221104
252,-2090174888,19.0,7.0,2358.0,20221104
253,-965260476,85.0,15.0,38921.0,20221104
254,-1445193182,55.0,5.0,92.0,20221104
255,-1646723534,23.0,1.0,224.0,20221104
256,1194542992,46.0,5.0,887.0,20221104
257,-640346738,30.0,1.0,228.0,20221104
258,1955577747,21.0,3.0,1035.0,20221104
259,-105716614,37.0,3.0,2717.0,20221104
260,-1962769475,17.0,1.0,2116.0,20221104
261,-932989499,44.0,1.0,1995.0,20221104
262,719343522,31.0,1.0,968.0,20221104
263,-611019411,8.0,1.0,352.0,20221104
264,-956306776,1.0,1.0,47.0,20221104
265,-688940717,41.0,1.0,5988.0,20221104
266,-1404122883,31.0,5.0,1499.0,20221104
267,1311992592,2.0,1.0,555.0,20221104
268,1351155263,37.0,1.0,1458.0,20221104
269,1017342996,2.0,1.0,253.0,20221104
270,2106534100,7.0,1.0,2954.0,20221104
271,1173079742,20.0,1.0,1023.0,20221104
272,1596090365,49.0,5.0,280.0,20221104
273,1190384017,1.0,1.0,2872.0,20221104
274,92142893,6.0,3.0,3859.0,20221104
275,-1373067485,45.0,11.0,942.0,20221104
276,2078248876,26.0,1.0,5.0,20221104
277,-973270583,43.0,3.0,909.0,20221104
278,1970233535,15.0,1.0,170.0,20221104
279,-1087867748,76.0,13.0,27879.0,20221104
280,-1938955793,9.0,1.0,516.0,20221104
281,178484447,21.0,1.0,879.0,20221104
282,-956827147,11.0,1.0,33.0,20221104
